30;проспект Речицкий;;;1;1;2018-12-05;17:00:00;Standard room cleaning;TWO_MONTH;;EVERY_WEEK;;1;REJECTED;2;;dmitriylipgart@tut.by;
28;проспект Речицкий;;;1;1;2018-12-12;16:30:00;Spring cleaning;THREE_MONTH;;EVERY_MONTH;;1;REJECTED;1;8;john5@mail.com;120
29;проспект Речицкий;;;1;1;2018-12-11;10:30:00;Spring cleaning;THREE_MONTH;;EVERY_TWO_WEEKS;;1;REJECTED;1;8;john5@mail.com;150
7;minsk;;;1;1;2018-11-30;17:00:00;Standard room cleaning;TWO_MONTH;dmitriylipgart@tut.by;EVERY_WEEK;;1;NEW;1;;;160
6;minsk;;;1;1;2018-11-30;17:00:00;Standard room cleaning;TWO_MONTH;dmitriylipgart@tut.by;EVERY_WEEK;;1;NEW;2;;;130
8;Gomel;;;2;1;2018-11-28;16:30:00;Standard room cleaning;TWO_MONTH;"";EVERY_WEEK;;2;NEW;1;8;;120
9;gomel;;;1;1;2018-11-28;16:30:00;Standard room cleaning;TWO_MONTH;;EVERY_WEEK;;2;NEW;1;8;john5@mail.com;160
31;gomel;;;1;1;2018-12-14;15:00:00;Standard room cleaning;TWO_MONTH;;EVERY_MONTH;;1;REJECTED;2;8;john5@mail.com;
10;gomel;;;1;1;2018-11-28;16:30:00;Standard room cleaning;TWO_MONTH;;EVERY_WEEK;;2;NEW;1;8;john5@mail.com;150
13;gomel;;;1;1;2018-11-28;16:30:00;Standard room cleaning;TWO_MONTH;;EVERY_WEEK;;2;NEW;1;;dmitriylipgart@tut.by;160
14;gomel;;;1;1;2018-11-27;16:00:00;Standard room cleaning;TWO_MONTH;;EVERY_WEEK;;2;NEW;1;;dmitriylipgart@tut.by;120
15;gomel;;;1;1;2018-11-27;16:00:00;Standard room cleaning;TWO_MONTH;;EVERY_WEEK;;2;NEW;1;;dmitriylipgart@tut.by;120
24;minsk;;;1;1;2018-11-28;17:00:00;Spring cleaning;TWO_MONTH;;EVERY_WEEK;;1;NEW;1;8;john5@mail.com;150
19;minsk;;;1;1;2018-11-28;17:30:00;Spring cleaning;THREE_MONTH;;EVERY_WEEK;;1;NEW;1;;dmitriylipgart@tut.by;150
21;Gomel;;;1;1;2018-11-28;17:00:00;Spring cleaning;TWO_MONTH;;EVERY_WEEK;;1;NEW;1;8;john5@mail.com;150
22;Gomel;;;1;1;2018-11-28;17:00:00;Spring cleaning;TWO_MONTH;;EVERY_WEEK;;1;NEW;1;8;john5@mail.com;150
25;Gomel;;;1;1;2018-11-28;17:00:00;Spring cleaning;TWO_MONTH;;EVERY_WEEK;;1;REJECTED;1;8;john5@mail.com;140
16;gomel;;;1;1;2018-11-27;16:00:00;Spring cleaning;TWO_MONTH;;EVERY_WEEK;;2;NEW;2;;dmitriylipgart@tut.by;140
32;проспект Речицкий;;;1;1;2018-12-12;10:00:00;Office cleaning;TWO_MONTH;;EVERY_WEEK;;1;REJECTED;2;8;john5@mail.com;
33;проспект Речицкий;;;1;1;2018-12-06;17:00:00;Standard room cleaning;TWO_MONTH;;EVERY_TWO_WEEKS;;1;REJECTED;2;8;john5@mail.com;
34;проспект Речицкий;;;1;1;2018-12-15;11:30:00;Standard room cleaning;TWO_MONTH;;EVERY_WEEK;;1;REJECTED;2;8;john5@mail.com;
17;gomel;;;1;1;2018-11-27;16:00:00;Spring cleaning;TWO_MONTH;;EVERY_WEEK;;2;NEW;2;;dmitriylipgart@tut.by;140
23;Minsk;;;1;1;2018-11-28;17:00:00;Spring cleaning;TWO_MONTH;;EVERY_WEEK;;1;NEW;1;8;john5@mail.com;140
20;Minsk;;;1;1;2018-11-28;17:30:00;Spring cleaning;THREE_MONTH;;EVERY_WEEK;;1;NEW;1;;dmitriylipgart@tut.by;130
35;проспект Речицкий;;;1;1;2018-12-14;10:00:00;Standard room cleaning;TWO_MONTH;;EVERY_WEEK;;1;REJECTED;2;8;john5@mail.com;
36;проспект Речицкий;;;1;1;2018-12-14;11:00:00;Dry carpet cleaning;TWO_MONTH;;EVERY_WEEK;;1;REJECTED;1;8;john5@mail.com;
37;проспект Речицкий;;;1;1;2018-12-15;11:00:00;Cleaning after repair and construction;THREE_MONTH;;EVERY_WEEK;;1;REJECTED;1;8;john5@mail.com;
38;проспект Речицкий;;;1;1;2018-12-12;17:00:00;Dry carpet cleaning;TWO_MONTH;;EVERY_WEEK;;1;REJECTED;1;8;john5@mail.com;
39;проспект Речицкий;;;1;1;2018-12-14;12:00:00;Spring cleaning;THREE_MONTH;;EVERY_WEEK;;1;REJECTED;1;8;john5@mail.com;
40;проспект Речицкий;;;1;1;2018-12-14;17:00:00;Spring cleaning;TWO_MONTH;;EVERY_WEEK;;1;REJECTED;1;8;john5@mail.com;
18;Minsk;;;1;1;2018-11-28;17:30:00;Spring cleaning;THREE_MONTH;;EVERY_WEEK;;1;NEW;2;5;dmitriylipgart@tut.by;180
26;проспект Речицкий;;;1;1;2018-12-04;16:00:00;Standard room cleaning;TWO_MONTH;;EVERY_WEEK;;1;REJECTED;1;8;john5@mail.com;170
27;проспект Речицкий;;;1;1;2018-12-05;10:00:00;Standard room cleaning;THREE_MONTH;;EVERY_WEEK;;1;REJECTED;1;8;john5@mail.com;170
