7,minsk,,,1,1,11/30/2018,17:00:00,Standard room cleaning,TWO_MONTH,,,EVERY_WEEK,1,NEW,1,,160
6,minsk,,,1,1,11/30/2018,17:00:00,Standard room cleaning,TWO_MONTH,,,EVERY_WEEK,1,NEW,2,,130
13,gomel,,,1,1,11/28/2018,16:30:00,Standard room cleaning,TWO_MONTH,dmitriylipgart@tut.by,,EVERY_WEEK,2,NEW,1,,160
14,gomel,,,1,1,11/27/2018,16:00:00,Standard room cleaning,TWO_MONTH,dmitriylipgart@tut.by,,EVERY_WEEK,2,NEW,1,,120
15,gomel,,,1,1,11/27/2018,16:00:00,Standard room cleaning,TWO_MONTH,dmitriylipgart@tut.by,,EVERY_WEEK,2,NEW,1,,120
19,minsk,,,1,1,11/28/2018,17:30:00,Spring cleaning,THREE_MONTH,dmitriylipgart@tut.by,,EVERY_WEEK,1,NEW,1,,150
16,gomel,,,1,1,11/27/2018,16:00:00,Spring cleaning,TWO_MONTH,dmitriylipgart@tut.by,,EVERY_WEEK,2,NEW,2,,140
17,gomel,,,1,1,11/27/2018,16:00:00,Spring cleaning,TWO_MONTH,dmitriylipgart@tut.by,,EVERY_WEEK,2,NEW,2,,140
20,Minsk,,,1,1,11/28/2018,17:30:00,Spring cleaning,THREE_MONTH,dmitriylipgart@tut.by,,EVERY_WEEK,1,NEW,1,,130
18,Minsk,,,1,1,11/28/2018,17:30:00,Spring cleaning,THREE_MONTH,dmitriylipgart@tut.by,,EVERY_WEEK,1,NEW,2,5,180
28,проспект Речицкий,,,1,1,12/12/2018,16:30:00,Spring cleaning,THREE_MONTH,john5@mail.com,,EVERY_MONTH,1,REJECTED,1,5,120
29,проспект Речицкий,,,1,1,12/11/2018,10:30:00,Spring cleaning,THREE_MONTH,john5@mail.com,,EVERY_TWO_WEEKS,1,REJECTED,1,5,150
8,Gomel,,,2,1,11/28/2018,16:30:00,Standard room cleaning,TWO_MONTH,,,EVERY_WEEK,2,NEW,1,5,120
9,gomel,,,1,1,11/28/2018,16:30:00,Standard room cleaning,TWO_MONTH,john5@mail.com,,EVERY_WEEK,2,NEW,1,5,160
10,gomel,,,1,1,11/28/2018,16:30:00,Standard room cleaning,TWO_MONTH,john5@mail.com,,EVERY_WEEK,2,NEW,1,5,150
24,minsk,,,1,1,11/28/2018,17:00:00,Spring cleaning,TWO_MONTH,john5@mail.com,,EVERY_WEEK,1,NEW,1,5,150
21,Gomel,,,1,1,11/28/2018,17:00:00,Spring cleaning,TWO_MONTH,john5@mail.com,,EVERY_WEEK,1,NEW,1,5,150
22,Gomel,,,1,1,11/28/2018,17:00:00,Spring cleaning,TWO_MONTH,john5@mail.com,,EVERY_WEEK,1,NEW,1,5,150
25,Gomel,,,1,1,11/28/2018,17:00:00,Spring cleaning,TWO_MONTH,john5@mail.com,,EVERY_WEEK,1,REJECTED,1,5,140
30,проспект Речицкий,,,1,1,12/5/2018,17:00:00,Standard room cleaning,TWO_MONTH,dmitriylipgart@tut.by,,EVERY_WEEK,1,REJECTED,2,,160
31,gomel,,,1,1,12/14/2018,15:00:00,Standard room cleaning,TWO_MONTH,john5@mail.com,,EVERY_MONTH,1,REJECTED,2,5,160
32,проспект Речицкий,,,1,1,12/12/2018,10:00:00,Office cleaning,TWO_MONTH,john5@mail.com,,EVERY_WEEK,1,REJECTED,2,5,120
33,проспект Речицкий,,,1,1,12/6/2018,17:00:00,Standard room cleaning,TWO_MONTH,john5@mail.com,,EVERY_TWO_WEEKS,1,REJECTED,2,5,120
34,проспект Речицкий,,,1,1,12/15/2018,11:30:00,Standard room cleaning,TWO_MONTH,john5@mail.com,,EVERY_WEEK,1,REJECTED,2,5,120
23,Minsk,,,1,1,11/28/2018,17:00:00,Spring cleaning,TWO_MONTH,john5@mail.com,,EVERY_WEEK,1,NEW,1,5,140
26,проспект Речицкий,,,1,1,12/4/2018,16:00:00,Standard room cleaning,TWO_MONTH,john5@mail.com,,EVERY_WEEK,1,REJECTED,1,5,170
27,проспект Речицкий,,,1,1,12/5/2018,10:00:00,Standard room cleaning,THREE_MONTH,john5@mail.com,,EVERY_WEEK,1,REJECTED,1,5,170
35,проспект Речицкий,,,1,1,12/14/2018,10:00:00,Standard room cleaning,TWO_MONTH,john5@mail.com,,EVERY_WEEK,1,REJECTED,2,5,140
36,проспект Речицкий,,,1,1,12/14/2018,11:00:00,Dry carpet cleaning,TWO_MONTH,john5@mail.com,,EVERY_WEEK,1,REJECTED,1,5,140
37,проспект Речицкий,,,1,1,12/15/2018,11:00:00,Cleaning after repair and construction,THREE_MONTH,john5@mail.com,,EVERY_WEEK,1,REJECTED,1,5,140
38,проспект Речицкий,,,1,1,12/12/2018,17:00:00,Dry carpet cleaning,TWO_MONTH,john5@mail.com,,EVERY_WEEK,1,REJECTED,1,5,170
39,проспект Речицкий,,,1,1,12/14/2018,12:00:00,Spring cleaning,THREE_MONTH,john5@mail.com,,EVERY_WEEK,1,REJECTED,1,5,170
40,проспект Речицкий,,,1,1,12/14/2018,17:00:00,Spring cleaning,TWO_MONTH,john5@mail.com,,EVERY_WEEK,1,REJECTED,1,5,170
